"JSD, SD=100    encoding_dim    3",5544.648003150098
"JSD, SD=100    encoding_dim    6",5547.63430125756
"JSD, SD=100    hidden_layers    5",5543.776948399179
"JSD, SD=100    hidden_layers    7",5546.161134743257
"JSD, SD=100    hidden_layers    9",5543.310649849361
"JSD, SD=100    hidden_layers    27",5544.734059384488
"JSD, SD=100    activity_regularizer    ",5539.064595273718
"JSD, SD=100    activity_regularizer    L2, 0.01",5544.807914793271
"JSD, SD=100    activity_regularizer    L1, 0.01",5545.062642912761
"JSD, SD=100    activity_regularizer    L1, 10^-4",5544.907581262598
"JSD, SD=100    sigma    0.005",1824.3875953916775
"JSD, SD=100    sigma    0.01",3296.909764018007
"JSD, SD=100    sigma    0.05",9530.672902904393
"JSD, SD=100    sigma    0.1",12747.351507791489
"JSD, SD=100    sigma    0.2",15571.879305386343
"JSD, SD=100    BN_size    2",3695.0134299623464
"JSD, SD=100    BN_size    4",7389.717401671472
"JSD, SD=100    BN_size    5",9232.45191392706
"JSD, SD=100    labeled_data_percentage    99",5541.473528166495
"JSD, SD=100    labeled_data_percentage    50",5545.883990925509
"JSD, SD=100    labeled_data_percentage    20",5542.436048312327
"JSD, SD=100    labeled_data_percentage    10",5539.836768066296
"JSD, SD=100    labeled_data_percentage    5",5540.230858370414
"JSD, SD=100    labeled_data_percentage    1",5544.91749111784
